@relation HVAC-indoor-temperature

@attribute external-temperature numeric
@attribute hvac-mode {30}
@attribute room {R5D}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
25.1, 30, R5D, 24.1, 24, 6.593, 24
27, 30, R5D, 24, 24, 6.593, 23.9
26.6, 30, R5D, 23.9, 24, 6.415, 23.9
26.6, 30, R5D, 23.9, 24, 6.303, 24
27.4, 30, R5D, 24, 24, 6.316, 24
25.5, 30, R5D, 24, 24, 4.647, 24
26.6, 30, R5D, 24.3, 24, 8.287, 24.3
27, 30, R5D, 24.3, 24, 8.845, 24.3
27.8, 30, R5D, 24.3, 24, 9.659, 24.3
28.3, 30, R5D, 24.3, 24, 9.51, 24.3
28.6, 30, R5D, 24.3, 24, 10.207, 24.4
28.3, 30, R5D, 24.4, 24, 10.294, 24.4
29.5, 30, R5D, 24.4, 24, 10.615, 24.3
29.2, 30, R5D, 24.3, 24, 10.134, 24.3
29.2, 30, R5D, 24.3, 24, 11.114, 24.4
29.2, 30, R5D, 24.4, 24, 11.032, 24.3
29.2, 30, R5D, 24.3, 24, 11.454, 24.3
29.2, 30, R5D, 24.3, 24, 11.514, 24.3
30, 30, R5D, 24.3, 24, 11.851, 24.2
31.5, 30, R5D, 24.2, 24, 11.882, 24.2
32.3, 30, R5D, 24.2, 24, 12.125, 24.3
28.3, 30, R5D, 24.3, 24, 12.196, 24.2
27.4, 30, R5D, 24.2, 24, 12.478, 24.2
