@relation ModeDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-hvac-mode {40,41,42}

@data
8.8,42,17.5,24,0.779,42
8.8,42,21.5,24,0.825,42
8.7,42,22.9,24,2.956,42
8.7,42,23.3,24,3.079,42
8.6,42,23.5,24,3.019,42
8.7,42,23.8,24,2.843,42
8.8,42,24,24,2.843,42
8.7,42,24.1,24,2.548,42
8.7,42,24.2,24,2.467,42
8.7,42,24.3,24,2.364,42
8.9,42,24.4,24,2.396,42
8.8,42,24.4,24,2.255,42
9.2,42,24.5,24,2.255,40
9.2,40,23.9,24,2.206,42
9.2,42,23,24,2.889,42
9,42,23,24,3.237,42
9,42,23.1,24,3.43,42
9.2,42,23.3,24,3.483,42
9.3,42,23.7,24,3.539,42
9.5,42,24.3,24,3.316,42
9.5,42,24.4,24,2.997,42
9.5,42,24.5,24,2.827,40
9.8,40,23.5,24,3.145,42
10.2,42,22.9,24,3.581,42
10.2,42,22.8,24,3.581,42
10.3,42,23.1,24,3.674,42
10.4,42,23.8,24,3.713,42
10.5,42,24.3,24,3.409,42
10.6,42,24.5,24,3.131,42
10.6,42,23.5,24,3.442,42
10.6,42,22.9,24,3.701,42
10.6,42,22.9,24,3.725,42
10.6,42,23.1,24,3.757,42
10.6,42,23.5,24,3.868,42
10.7,42,23.9,24,3.81,42
10.8,42,24,24,3.787,42
10.9,42,24.1,24,3.798,42
10.9,42,24,24,3.607,41
11,41,24,24,3.588,41
11,41,24,24,3.443,41
10.9,41,24,24,3.445,41
10.9,41,24,24,3.389,41
10.8,41,24,24,3.459,41
10.9,41,24,24,3.291,41
10.8,41,24,24,3.247,41
10.8,41,24,24,3.149,41
10.8,41,24,24,3.165,41
10.9,41,24,24,3.087,41
10.9,41,24,24,3.102,41
11,41,24,24,3.068,41
11,41,24,24,3.051,41
10.9,41,24,24,2.884,41
10.8,41,24,24,2.924,41
10.7,41,24,24,2.906,41
10.7,41,24,24,2.897,41
10.8,41,24,24,2.876,41
10.8,41,24,24,2.75,41
10.8,41,24,24,2.74,41
10.8,41,24,24,2.646,41
10.8,41,24,24,2.713,41
10.8,41,24,24,2.715,41
10.8,41,23.9,24,2.66,41
11,41,23.9,24,2.668,41
11,41,23.9,24,2.726,41
11,41,24.5,24,1.626,41
11,41,23.4,24,1.298,41
10.9,41,22.8,24,1.998,41
11,41,22.9,24,2.16,41
11,41,23.1,24,2.24,41
10.9,41,23.9,24,2.188,41
10.3,40,19.4,24,0.959,42
10.1,42,22.8,24,3.483,42
10.1,42,23.5,24,3.092,42
10.1,42,23.7,24,2.737,42
10.1,42,24.1,24,2.627,42
10,42,24.3,24,2.393,42
10,42,24.4,24,2.161,42
10.1,42,24.5,24,2.083,40
10,40,23.6,24,2.355,42
10,42,23.1,24,2.764,42
9.9,42,23.1,24,3.052,42
9.8,42,23.1,24,3.206,42
9.9,42,23.3,24,3.234,42
9.9,42,23.8,24,3.29,42
10,42,23.9,24,3.304,42
10,42,24,24,3.323,41
10,41,24,24,3.273,41
9.9,41,24,24,3.279,41
10,41,24,24,3.373,41
10,41,24,24,3.354,41
10,41,24,24,3.49,41
10.1,41,24,24,3.405,41
10.2,41,24.1,24,3.386,41
10.2,41,24,24,3.468,41
10.3,41,24,24,3.384,41
10.3,41,24,24,3.476,41
10.5,41,24,24,3.461,41
10.5,41,24,24,3.437,41
10.5,41,24,24,3.278,41
10.7,41,24,24,3.375,41
10.8,41,24,24,3.395,41
10.9,41,23.9,24,3.395,41
6.4,42,19.3,24,0.992,42
6.2,42,22.7,24,3.386,42
6.5,42,23.4,24,2.919,42
6.6,42,23.7,24,3.021,42
6.7,42,23.9,24,2.954,42
6.9,42,24.1,24,2.799,42
7,42,24.2,24,2.622,42
7.1,42,24.3,24,2.377,42
6.5,42,24.3,24,2.241,42
6.5,42,24.4,24,2.035,42
6.9,42,24.4,24,2.085,42
7.1,42,24.4,24,2.083,42
7.2,42,24.3,24,2.083,42
7.3,42,24.4,24,1.996,42
7.2,42,24.4,24,1.896,42
7.3,42,24.3,24,1.919,42
7,42,24.2,24,1.894,42
7.1,42,24.1,24,2,42
7.3,42,24,24,2.1,42
7.5,42,24,24,2.186,42
7.2,42,24,24,2.334,42
6.8,42,23.9,24,2.42,42
7,42,24,24,2.195,42
6.6,42,24.1,24,2.276,42
6.5,42,24,24,2.261,42
7.4,42,24,24,2.295,42
7.3,42,24.1,24,2.344,42
6.9,42,24,24,2.409,42
7.3,42,24,24,2.47,42
7,42,23.9,24,2.552,42
7.3,42,24,24,2.388,42
7.2,42,24,24,2.434,42
7.8,42,24.1,24,2.415,42
8.7,42,24,24,2.508,42
8.8,42,23.9,24,2.527,42
9.5,42,24,24,2.467,42
10,42,24,24,2.498,42
8.8,42,24,24,2.527,42
7.8,42,23.9,24,2.656,42
7.7,42,24,24,2.716,42
7.1,42,21.6,24,2.585,42
5.8,42,18.7,24,1,42
6.1,42,22.3,24,2.961,42
6.3,42,23.3,24,2.959,42
6.3,42,23.5,24,2.807,42
6.5,42,23.7,24,2.842,42
6.5,42,24,24,2.618,42
6.6,42,24.1,24,2.463,42
6.7,42,24.2,24,2.229,42
6.3,42,24.3,24,2.166,42
6.4,42,24.4,24,1.977,42
6.4,42,24.4,24,2.075,42
6.7,42,24.4,24,1.968,42
6.8,42,24.4,24,1.885,40
6.8,40,24.1,24,1.959,42
6.7,42,23.1,24,2.669,42
6.2,42,22.9,24,3.288,42
5.8,42,23,24,3.279,42
5.8,42,23.3,24,3.495,42
6,42,23.7,24,3.5,42
6.6,42,24,24,3.515,42
6.6,42,24,24,3.439,42
6.9,42,23.9,24,3.507,42
7.2,42,24,24,3.448,42
7.1,42,24.2,24,3.293,40
7.5,40,24.5,24,2.876,42
7.8,42,23.4,24,2.41,42
7.7,42,23,24,2.41,42
7.8,42,23.1,24,3.804,42
8,42,23.2,24,3.892,42
8.2,42,23.4,24,3.94,42
8.5,42,24,24,3.762,40
8.9,40,24.5,24,3.285,42
8.8,42,23.5,24,2.931,42
8.3,42,23,24,2.824,42
8.3,42,23,24,3.891,42
8.3,42,23.2,24,3.918,42
8.3,42,23.3,24,4.075,42
7.7,42,24.1,24,3.816,42
7.5,42,24.5,24,3.816,40
8.1,40,23.9,24,3.457,42
7.5,42,23.1,24,3.874,41
7.8,41,23,24,3.894,41
7.9,41,23.2,24,4.014,41
8.1,41,23.4,24,4.081,41
8.4,41,23.7,24,4.14,41
8.7,41,23.9,24,4.077,41
9.1,41,24,24,3.949,41
8.7,41,23.9,24,3.859,41
7.4,41,23.4,24,2.774,41
7.5,41,23.1,24,3.968,41
8,41,23.1,24,4.105,41
8.1,41,23.2,24,4.249,41
8.2,41,23.3,24,4.249,41
7.5,41,24.1,24,3.958,41
7.3,41,24.5,24,3.655,41
7.6,41,23.5,24,3.169,41
10.2,41,22.9,24,3.975,41
6.9,42,21.9,24,3.907,42
6.9,42,21.7,24,2.903,42
6.7,42,22,24,2.555,42
5.9,42,19.2,24,1.847,42
6,42,22.7,24,2.332,42
5.7,42,23.4,24,2.949,42
7.2,42,23.7,24,2.79,42
7.9,42,24,24,2.648,42
8.2,42,24.1,24,2.414,42
8.4,42,24.3,24,2.245,42
8.3,42,24.3,24,2.258,42
7.9,42,24.4,24,2.002,42
7.7,42,24.4,24,1.902,42
7.5,42,24.5,24,1.957,42
7.3,42,24.4,24,1.819,42
7.6,42,24.4,24,1.839,42
7.7,42,24.3,24,1.827,42
7.7,42,24.1,24,1.792,42
7.7,42,24.1,24,1.797,42
7.4,42,24.2,24,1.804,42
7.6,42,24.1,24,1.756,42
7.3,42,24.1,24,1.756,42
7.6,42,24.1,24,1.837,42
7.8,42,24,24,1.946,42
7.9,42,24,24,1.954,42
8.3,42,23.9,24,1.976,42
8.4,42,23.8,24,1.998,42
8.5,42,23.9,24,1.914,42
8.8,42,24,24,1.959,42
8.8,42,24.1,24,1.959,42
8.8,42,24.1,24,2.011,42
9,42,24.1,24,2.028,42
8.8,42,24,24,1.975,42
8.9,42,23.9,24,2.02,42
8.9,42,23.9,24,2.003,42
8.9,42,24,24,2.002,42
8,42,24,24,2.001,42
8.4,42,24.1,24,2.054,42
8.1,42,24,24,2.147,42
8,42,24,24,2.005,42
8.1,42,24.1,24,2.029,42
7.7,42,23.9,24,1.972,42
8,42,23.8,24,2.002,42
8.2,42,23.8,24,2.081,42
8.4,42,23.8,24,2.128,42
8,42,23.9,24,2.132,42
7.9,42,23.9,24,2.132,42
8.3,42,24,24,2.241,42
7.7,42,24.2,24,2.241,42
7.1,42,23.5,24,2.806,42
7.4,42,21.9,24,5.89,42
7.7,42,21.5,24,5.4,42
7.6,42,21.7,24,2.537,42
4.1,42,19.6,24,1.72,42
4,42,21.5,24,2.097,42
4,42,22.3,24,2.797,42
4.8,42,22.4,24,2.143,42
4.8,42,22.8,24,2.255,42
4,42,23.1,24,2.395,42
3.9,42,23.4,24,2.197,42
3.9,42,23.5,24,2.197,42
4.1,42,23.7,24,2.065,42
4.1,42,23.8,24,2.161,42
4.3,42,23.9,24,2.131,42
4.7,42,23.9,24,1.961,42
4.7,42,24,24,2.018,42
4.8,42,24.1,24,1.942,42
4.4,42,24.1,24,1.885,42
5.1,42,24.2,24,1.813,42
4.6,42,24.2,24,1.816,42
5.1,42,24.3,24,1.809,42
4.9,42,24.3,24,1.809,42
5,42,24.3,24,1.682,42
5,42,24.3,24,1.721,42
5.5,42,24.3,24,1.722,42
5.7,42,24.3,24,2.285,42
6.4,42,24.4,24,2.23,42
5.8,42,24.3,24,2.091,42
5.9,42,24.2,24,2.163,42
6.2,42,24.2,24,2.221,42
6.2,42,24.1,24,2.24,42
6.2,42,24.1,24,2.207,42
7.3,42,23.9,24,2.207,42
7.1,42,24,24,2.428,42
7,42,24,24,2.477,42
6.9,42,24,24,2.563,42
6.6,42,24,24,2.58,42
5.6,42,24,24,2.627,42
6,42,24,24,2.658,42
5.8,42,24,24,2.72,42
5.8,42,24,24,2.698,42
5.7,42,24,24,2.78,42
4.5,42,24,24,2.808,42
4.3,42,24,24,2.808,42
4.1,42,24,24,2.737,42
4,42,24,24,2.832,42
3.8,42,24,24,2.832,42
4.1,42,24.1,24,2.763,42
4.2,42,24,24,2.682,42
4.2,42,24,24,2.747,42
4.2,42,24,24,2.707,42
4.2,42,24,24,2.707,42
4.2,42,24,24,2.729,42
4.2,42,24,24,2.744,42
4.2,42,24,24,2.726,42
4.2,42,24,24,2.689,42
4.2,42,24,24,2.69,42
4.2,42,24,24,2.727,42
4.2,42,24,24,2.748,42
4.2,42,24,24,2.761,42
4.2,42,24,24,2.748,42
4.2,42,24,24,2.798,42
4.2,42,24,24,2.846,42
7.7,42,24,24,2.763,42
8.2,42,24,24,2.719,42
8.2,42,24,24,2.772,42
8.3,42,24,24,1.829,42
8.3,42,24,24,1.832,42
8.1,42,24,24,1.819,42
7.9,42,24,24,1.819,42
7.7,42,24,24,1.753,42
7.8,42,23.9,24,1.897,42
7.6,42,23.3,24,2.17,42
7.8,42,21.6,24,3.543,42
7.6,42,21,24,2.413,42
7.6,42,20.9,24,1.807,42
5.3,42,17.1,24,0.999,42
5.3,42,20.9,24,2.454,42
6,42,22.5,24,3.085,42
6.4,42,22.7,24,3.064,42
6,42,23,24,2.966,42
5.5,42,23.4,24,2.955,42
5.4,42,23.7,24,2.849,42
5.3,42,23.8,24,2.661,42
5.5,42,23.8,24,2.419,42
5.7,42,23.9,24,2.399,42
6.3,42,24,24,2.335,42
6.5,42,24,24,2.414,42
6,42,24.1,24,2.401,42
5.6,42,24.1,24,2.401,42
5.6,42,24.2,24,2.357,42
6.1,42,24.2,24,2.285,42
6.5,42,24.2,24,2.298,42
6.5,42,24.3,24,2.329,42
6,42,24.3,24,2.307,42
6.2,42,24.4,24,2.292,42
6,42,24.4,24,2.307,42
5.9,42,24.4,24,2.312,42
5.8,42,24.4,24,2.321,42
5.9,42,24.2,24,2.41,42
5.9,42,24.1,24,2.394,42
5.9,42,24.1,24,2.538,42
5.9,42,24,24,2.62,42
5.9,42,24,24,2.681,42
6.2,42,24,24,2.781,42
6.4,42,24,24,2.844,42
6.3,42,24,24,2.923,42
6.7,42,24,24,2.905,42
7.4,42,24,24,2.925,42
7.5,42,24,24,2.928,42
7.6,42,24,24,2.957,42
7.7,42,24,24,2.876,42
7.9,42,24,24,2.876,42
7.7,42,24,24,2.762,42
7.4,42,24,24,2.742,42
7.5,42,24,24,2.758,42
7.5,42,24,24,2.703,42
7.8,42,24,24,2.779,42
8.2,42,24,24,2.745,42
8.6,42,24,24,2.745,42
8.9,42,24,24,2.745,42
8.7,42,24,24,2.821,42
8.7,42,24,24,2.822,42
8.7,42,24,24,2.86,42
8.7,42,24,24,2.86,42
8.2,42,24,24,2.86,42
8.3,42,24,24,2.778,42
8.8,42,24,24,2.812,42
9.9,42,24,24,2.754,42
10.1,42,24,24,2.747,42
9.5,42,24,24,2.781,42
9.1,42,24,24,2.781,42
9.3,42,24,24,2.79,42
8.8,42,24,24,2.89,42
9.3,42,24,24,2.833,42
9.3,42,24,24,2.861,42
9.2,42,24,24,2.861,42
8.8,42,23.8,24,2.914,42
8.7,42,23.8,24,3.005,42
8.8,42,23.8,24,3.082,42
9.1,42,23.8,24,1.786,42
8.8,42,23.7,24,1.705,42
8.8,42,23.6,24,1.84,42
8.2,42,23.3,24,1.844,42
8.1,42,23.5,24,2.326,42
8.1,42,23.9,24,2.05,42
7.8,42,23.5,24,2.162,42
7.7,42,21.9,24,3.565,42
7.7,42,21.2,24,3.755,42
7.7,42,21,24,2.296,42
7.2,42,22.1,24,3.291,42
7.2,42,23.1,24,3,42
7.3,42,23.2,24,2.897,42
7.3,42,23.4,24,2.889,42
7.3,42,23.7,24,2.706,42
7.3,42,23.9,24,2.616,42
7.4,42,24,24,2.567,42
7.3,42,24.1,24,2.617,42
7.3,42,24.2,24,2.486,42
7.4,42,24.3,24,2.589,42
7.4,42,24.3,24,2.445,42
7.4,42,24.4,24,2.445,42
7.4,42,24.4,24,2.296,42
7.4,42,24.4,24,2.323,42
7.5,42,24.4,24,2.239,42
7.5,42,24.4,24,2.246,42
7.5,42,24.4,24,2.232,42
7.6,42,24.3,24,2.291,42
7.7,42,24.1,24,2.312,42
7.7,42,24,24,2.357,42
7.7,42,24,24,2.398,42
7.8,42,24.1,24,2.52,42
7.9,42,24,24,2.568,42
7.9,42,24,24,2.597,42
7.9,42,24,24,2.672,42
7.9,42,24,24,2.727,42
7.8,42,23.9,24,2.701,42
7.8,42,24.1,24,2.567,42
7.8,42,24,24,2.589,42
7.9,42,24,24,2.642,42
8,42,24,24,2.591,42
8,42,24.1,24,2.622,42
8,42,24,24,2.621,42
8.1,42,24,24,2.661,42
8.1,42,24,24,2.623,41
8,41,24.1,24,2.645,41
8.1,41,24,24,2.635,41
8.1,41,24.1,24,2.63,41
8.2,41,24,24,2.605,41
8.2,41,24,24,2.652,41
8.3,41,24,24,2.641,41
8.2,41,24,24,2.656,41
8.3,41,24,24,2.611,41
8.3,41,24,24,2.569,41
8.3,41,24,24,2.579,41
8.3,41,23.9,24,2.579,41
8.4,41,24,24,2.6,41
8.4,41,24,24,2.65,41
9.5,41,24,24,2.569,41
9.6,41,24,24,2.644,41
9.7,41,23.9,24,2.612,41
9.9,41,24,24,2.629,41
10,41,24.1,24,2.606,41
9.9,41,24,24,2.654,41
9.9,41,24.1,24,2.664,41
9.9,41,24,24,2.664,41
9.4,42,19.8,24,0,42
9.4,42,22.9,24,3.668,42
9.3,42,23.6,24,3.168,42
9.2,42,23.8,24,2.781,42
9.4,42,24,24,2.7,42
9.3,42,24.2,24,2.493,42
9.3,42,24.3,24,2.303,42
9.1,42,24.4,24,2.144,42
9.1,42,24.4,24,2.141,42
9.1,42,24.5,24,2.07,40
9.2,40,23.6,24,2.544,42
9.1,42,23,24,2.974,41
9.1,41,23.1,24,2.974,41
9.1,41,23.2,24,3.379,41
9.1,41,23.4,24,3.48,41
9.2,41,23.8,24,3.349,41
9.1,41,24.3,24,3.148,41
9.2,41,24.4,24,2.878,41
9.2,41,24.4,24,2.652,41
9.4,41,23.5,24,3.108,41
9.6,41,24,24,3.107,41
9.6,41,23.8,24,3.112,41
9.8,41,23.9,24,3.2,41
10,41,24,24,3.169,41
10.1,41,24,24,3.072,41
10.1,41,24.1,24,2.978,41
10.1,41,23.9,24,2.985,41
10.5,41,23.9,24,2.929,41
10.6,41,24.2,24,2.863,41
10.6,41,24.2,24,2.939,41
10.8,41,24,24,2.977,41
11,41,23.6,24,3.26,41
