@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
8.8,42,17.5,24,0.779,21.5
8.8,42,21.5,24,0.825,22.9
8.7,42,22.9,24,2.956,23.3
8.7,42,23.3,24,3.079,23.5
8.6,42,23.5,24,3.019,23.8
8.7,42,23.8,24,2.843,24
8.8,42,24,24,2.843,24.1
8.7,42,24.1,24,2.548,24.2
8.7,42,24.2,24,2.467,24.3
8.7,42,24.3,24,2.364,24.4
8.9,42,24.4,24,2.396,24.4
8.8,42,24.4,24,2.255,24.5
9.2,42,24.5,24,2.255,23.9
9.2,40,23.9,24,2.206,23
9.2,42,23,24,2.889,23
9,42,23,24,3.237,23.1
9,42,23.1,24,3.43,23.3
9.2,42,23.3,24,3.483,23.7
9.3,42,23.7,24,3.539,24.3
9.5,42,24.3,24,3.316,24.4
9.5,42,24.4,24,2.997,24.5
9.5,42,24.5,24,2.827,23.5
9.8,40,23.5,24,3.145,22.9
10.2,42,22.9,24,3.581,22.8
10.2,42,22.8,24,3.581,23.1
10.3,42,23.1,24,3.674,23.8
10.4,42,23.8,24,3.713,24.3
10.5,42,24.3,24,3.409,24.5
10.6,42,24.5,24,3.131,23.5
10.6,42,23.5,24,3.442,22.9
10.6,42,22.9,24,3.701,22.9
10.6,42,22.9,24,3.725,23.1
10.6,42,23.1,24,3.757,23.5
10.6,42,23.5,24,3.868,23.9
10.7,42,23.9,24,3.81,24
10.8,42,24,24,3.787,24.1
10.9,42,24.1,24,3.798,24
10.9,42,24,24,3.607,24
11,41,24,24,3.588,24
11,41,24,24,3.443,24
10.9,41,24,24,3.445,24
10.9,41,24,24,3.389,24
10.8,41,24,24,3.459,24
10.9,41,24,24,3.291,24
10.8,41,24,24,3.247,24
10.8,41,24,24,3.149,24
10.8,41,24,24,3.165,24
10.9,41,24,24,3.087,24
10.9,41,24,24,3.102,24
11,41,24,24,3.068,24
11,41,24,24,3.051,24
10.9,41,24,24,2.884,24
10.8,41,24,24,2.924,24
10.7,41,24,24,2.906,24
10.7,41,24,24,2.897,24
10.8,41,24,24,2.876,24
10.8,41,24,24,2.75,24
10.8,41,24,24,2.74,24
