@relation PowerConsumption

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric

@data
8.8,42,17.5,24,0.779
8.8,42,21.5,24,0.825
8.7,42,22.9,24,2.956
8.7,42,23.3,24,3.079
8.6,42,23.5,24,3.019
8.7,42,23.8,24,2.843
8.8,42,24,24,2.843
8.7,42,24.1,24,2.548
8.7,42,24.2,24,2.467
8.7,42,24.3,24,2.364
8.9,42,24.4,24,2.396
8.8,42,24.4,24,2.255
9.2,42,24.5,24,2.255
9.2,40,23.9,24,2.206
9.2,42,23,24,2.889
9,42,23,24,3.237
9,42,23.1,24,3.43
9.2,42,23.3,24,3.483
9.3,42,23.7,24,3.539
9.5,42,24.3,24,3.316
9.5,42,24.4,24,2.997
9.5,42,24.5,24,2.827
9.8,40,23.5,24,3.145
10.2,42,22.9,24,3.581
10.2,42,22.8,24,3.581
10.3,42,23.1,24,3.674
10.4,42,23.8,24,3.713
10.5,42,24.3,24,3.409
10.6,42,24.5,24,3.131
10.6,42,23.5,24,3.442
10.6,42,22.9,24,3.701
10.6,42,22.9,24,3.725
10.6,42,23.1,24,3.757
10.6,42,23.5,24,3.868
10.7,42,23.9,24,3.81
10.8,42,24,24,3.787
10.9,42,24.1,24,3.798
10.9,42,24,24,3.607
11,41,24,24,3.588
11,41,24,24,3.443
10.9,41,24,24,3.445
10.9,41,24,24,3.389
10.8,41,24,24,3.459
10.9,41,24,24,3.291
10.8,41,24,24,3.247
10.8,41,24,24,3.149
10.8,41,24,24,3.165
10.9,41,24,24,3.087
10.9,41,24,24,3.102
11,41,24,24,3.068
11,41,24,24,3.051
10.9,41,24,24,2.884
10.8,41,24,24,2.924
10.7,41,24,24,2.906
10.7,41,24,24,2.897
10.8,41,24,24,2.876
10.8,41,24,24,2.75
10.8,41,24,24,2.74
10.8,41,24,24,2.646
10.8,41,24,24,2.713
10.8,41,24,24,2.715
10.8,41,23.9,24,2.66
11,41,23.9,24,2.668
11,41,23.9,24,2.726
11,41,24.5,24,1.626
11,41,23.4,24,1.298
10.9,41,22.8,24,1.998
11,41,22.9,24,2.16
11,41,23.1,24,2.24
10.9,41,23.9,24,2.188
10.9,41,23.7,24,2.315
10.3,40,19.4,24,0.959
10.1,42,22.8,24,3.483
10.1,42,23.5,24,3.092
10.1,42,23.7,24,2.737
10.1,42,24.1,24,2.627
10,42,24.3,24,2.393
10,42,24.4,24,2.161
10.1,42,24.5,24,2.083
10,40,23.6,24,2.355
10,42,23.1,24,2.764
9.9,42,23.1,24,3.052
9.8,42,23.1,24,3.206
9.9,42,23.3,24,3.234
9.9,42,23.8,24,3.29
10,42,23.9,24,3.304
10,42,24,24,3.323
10,41,24,24,3.273
9.9,41,24,24,3.279
10,41,24,24,3.373
10,41,24,24,3.354
10,41,24,24,3.49
10.1,41,24,24,3.405
10.2,41,24.1,24,3.386
10.2,41,24,24,3.468
10.3,41,24,24,3.384
10.3,41,24,24,3.476
10.5,41,24,24,3.461
10.5,41,24,24,3.437
10.5,41,24,24,3.278
10.7,41,24,24,3.375
10.8,41,24,24,3.395
10.9,41,23.9,24,3.395
10.9,41,24,24,3.365
6.4,42,19.3,24,0.992
6.2,42,22.7,24,3.386
6.5,42,23.4,24,2.919
6.6,42,23.7,24,3.021
6.7,42,23.9,24,2.954
6.9,42,24.1,24,2.799
7,42,24.2,24,2.622
7.1,42,24.3,24,2.377
6.5,42,24.3,24,2.241
6.5,42,24.4,24,2.035
6.9,42,24.4,24,2.085
7.1,42,24.4,24,2.083
7.2,42,24.3,24,2.083
7.3,42,24.4,24,1.996
7.2,42,24.4,24,1.896
7.3,42,24.3,24,1.919
7,42,24.2,24,1.894
7.1,42,24.1,24,2
