,,,Id,DP_630502,DP_101101,DP_101102,DP_101103,DP_101104,DP_102101,DP_102102,DP_102103,DP_102104,DP_103101,DP_103102,DP_103103,DP_103104,DP_105101,DP_105102,DP_105103,DP_105104,DP_108101,DP_108102,DP_108103,DP_108104,DP_109101,DP_109102,DP_109103,DP_109104,DP_111101,DP_111102,DP_111103,DP_111104,DP_112101,DP_112102,DP_112103,DP_112104,DP_113101,DP_113102,DP_113103,DP_113104,DP_201101,DP_201102,DP_201103,DP_201104,DP_202101,DP_202102,DP_202103,DP_202104,DP_203101,DP_203102,DP_203103,DP_203104,DP_204101,DP_204102,DP_204103,DP_204104,DP_206101,DP_206102,DP_206103,DP_206104,DP_207101,DP_207102,DP_207103,DP_207104,DP_208101,DP_208102,DP_208103,DP_208104,DP_209101,DP_209102,DP_209103,DP_209104,DP_210101,DP_210102,DP_210103,DP_210104,DP_211101,DP_211102,DP_211103,DP_211104,DP_212101,DP_212102,DP_212103,DP_212104,DP_213101,DP_213102,DP_213103,DP_213104,DP_401101,DP_401102,DP_401103,DP_401104,DP_402101,DP_402102,DP_402103,DP_402104,DP_403101,DP_403102,DP_403103,DP_403104,DP_404101,DP_404102,DP_404103,DP_404104,DP_405101,DP_405102,DP_405103,DP_405104,DP_406101,DP_406102,DP_406103,DP_406104,DP_407101,DP_407102,DP_407103,DP_407104,DP_408101,DP_408102,DP_408103,DP_408104,DP_409101,DP_409102,DP_409103,DP_409104,DP_410101,DP_410102,DP_410103,DP_410104,DP_411101,DP_411102,DP_411103,DP_411104,DP_501101,DP_501102,DP_501103,DP_501104,DP_502101,DP_502102,DP_502103,DP_502104,DP_503101,DP_503102,DP_503103,DP_503104,DP_504101,DP_504102,DP_504103,DP_504104,DP_505101,DP_505102,DP_505103,DP_505104,DP_506101,DP_506102,DP_506103,DP_506104,DP_507101,DP_507102,DP_507103,DP_507104,DP_508101,DP_508102,DP_508103,DP_508104,DP_509101,DP_509102,DP_509103,DP_509104,DP_510101,DP_510102,DP_510103,DP_510104,DP_511101,DP_511102,DP_511103,DP_511104
,,,Name,EXT_TEMP,R1A_ELEC,R1A_MODE,R1A_CONS_AMB,R1A_T_AMB_MEDIA,R1B_ELEC,R1B_MODE,R1B_CONS_AMB,R1B_T_AMB_MEDIA,R1C_ELEC,R1C_MODE,R1C_CONS_AMB,R1C_T_AMB_MEDIA,R1E_ELEC,R1E_MODE,R1E_CONS_AMB,R1E_T_AMB_MEDIA,R1H_ELEC,R1H_MODE,R1H_CONS_AMB,R1H_T_AMB_MEDIA,R1I_ELEC,R1I_MODE,R1I_CONS_AMB,R1I_T_AMB_MEDIA,R1K_ELEC,R1K_MODE,R1K_CONS_AMB,R1K_T_AMB_MEDIA,R1L_ELEC,R1L_MODE,R1L_CONS_AMB,R1L_T_AMB_MEDIA,R1M_ELEC,R1M_MODE,R1M_CONS_AMB,R1M_T_AMB_MEDIA,R2A_ELEC,R2A_MODE,R2A_CONS_AMB,R2A_T_AMB_MEDIA,R2B_ELEC,R2B_MODE,R2B_CONS_AMB,R2B_T_AMB_MEDIA,R2C_ELEC,R2C_MODE,R2C_CONS_AMB,R2C_T_AMB_MEDIA,R2D_ELEC,R2D_MODE,R2D_CONS_AMB,R2D_T_AMB_MEDIA,R2F_ELEC,R2F_MODE,R2F_CONS_AMB,R2F_T_AMB_MEDIA,R2G_ELEC,R2G_MODE,R2G_CONS_AMB,R2G_T_AMB_MEDIA,R2H_ELEC,R2H_MODE,R2H_CONS_AMB,R2H_T_AMB_MEDIA,R2I_ELEC,R2I_MODE,R2I_CONS_AMB,R2I_T_AMB_MEDIA,R2J_ELEC,R2J_MODE,R2J_CONS_AMB,R2J_T_AMB_MEDIA,R2K_ELEC,R2K_MODE,R2K_CONS_AMB,R2K_T_AMB_MEDIA,R2L_ELEC,R2L_MODE,R2L_CONS_AMB,R2L_T_AMB_MEDIA,R2M_ELEC,R2M_MODE,R2M_CONS_AMB,R2M_T_AMB_MEDIA,R4A_ELEC,R4A_MODE,R4A_CONS_AMB,R4A_T_AMB_MEDIA,R4B_ELEC,R4B_MODE,R4B_CONS_AMB,R4B_T_AMB_MEDIA,R4C_ELEC,R4C_MODE,R4C_CONS_AMB,R4C_T_AMB_MEDIA,R4D_ELEC,R4D_MODE,R4D_CONS_AMB,R4D_T_AMB_MEDIA,R4E_ELEC,R4E_MODE,R4E_CONS_AMB,R4E_T_AMB_MEDIA,R4F_ELEC,R4F_MODE,R4F_CONS_AMB,R4F_T_AMB_MEDIA,R4G_ELEC,R4G_MODE,R4G_CONS_AMB,R4G_T_AMB_MEDIA,R4H_ELEC,R4H_MODE,R4H_CONS_AMB,R4H_T_AMB_MEDIA,R4I_ELEC,R4I_MODE,R4I_CONS_AMB,R4I_T_AMB_MEDIA,R4J_ELEC,R4J_MODE,R4J_CONS_AMB,R4J_T_AMB_MEDIA,R4K_ELEC,R4K_MODE,R4K_CONS_AMB,R4K_T_AMB_MEDIA,R5A_ELEC,R5A_MODE,R5A_CONS_AMB,R5A_T_AMB_MEDIA,R5B_ELEC,R5B_MODE,R5B_CONS_AMB,R5B_T_AMB_MEDIA,R5C_ELEC,R5C_MODE,R5C_CONS_AMB,R5C_T_AMB_MEDIA,R5D_ELEC,R5D_MODE,R5D_CONS_AMB,R5D_T_AMB_MEDIA,R5E_ELEC,R5E_MODE,R5E_CONS_AMB,R5E_T_AMB_MEDIA,R5F_ELEC,R5F_MODE,R5F_CONS_AMB,R5F_T_AMB_MEDIA,R5G_ELEC,R5G_MODE,R5G_CONS_AMB,R5G_T_AMB_MEDIA,R5H_ELEC,R5H_MODE,R5H_CONS_AMB,R5H_T_AMB_MEDIA,R5I_ELEC,R5I_MODE,R5I_CONS_AMB,R5I_T_AMB_MEDIA,R5J_ELEC,R5J_MODE,R5J_CONS_AMB,R5J_T_AMB_MEDIA,R5K_ELEC,R5K_MODE,R5K_CONS_AMB,R5K_T_AMB_MEDIA
Timestamp,Date,Time,Units,[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius],[kW],enum_r_mode,[celsius],[celsius]
1366192800000,2013/04/17,12:00:00,,28.3,0.504,51,24,22.8,4.831,30,24,24.9,0,14,24,22,1.637,51,24,23.6,5.193,51,24,23.5,5.594,30,24,27.1,5.594,30,24,25.2,5.509,30,24,24.7,2.491,30,24,27.5,7.769,30,24,25.3,7.263,30,24,24.1,3.613,30,24,23.8,5.274,51,24,24,6.148,30,24,24.2,5.812,30,24,24.4,8.602,30,24,25.4,0,14,24,27.4,0.004,30,24,25.5,0,14,24,27.6,3.813,51,24,24.1,1.519,30,24,24.8,3.721,30,24,24.4,0.718,30,24,24.1,1.453,30,24,25.1,2.668,30,24,24.5,4.102,30,24,25.5,1.223,51,25,25.2,0.894,51,25,25.3,4.258,30,24,25.5,2.591,51,26,26.1,0.639,51,26,26.2,0.764,51,26,26.2,7.684,51,24,24.2,8.816,51,24,24,4.073,51,24,24.2,9.51,30,24,24.3,8.37,51,24,24.1,2.445,30,24,24,4.971,30,24,24,5.593,51,24,24.1,2.936,51,24,24.1,3.566,51,24,24.2,3.377,51,24,23.7
1366193400000,2013/04/17,12:10:00,,28.6,0.479,51,24,22.8,4.982,30,24,24.9,0,14,24,22,1.696,51,24,23.5,5.437,51,24,23.4,5.85,30,24,27,5.85,30,24,25.1,5.725,30,24,24.6,2.605,30,24,27.4,8.504,30,24,25.3,8.009,30,24,24.1,3.938,30,24,23.8,5.31,51,24,24,6.936,30,24,24.2,6.543,30,24,24.4,9.723,30,24,25.4,0,14,24,27.5,0.003,30,24,25.7,0,14,24,27.6,2.868,30,24,24.6,1.367,30,24,25,3.86,30,24,24.5,0.765,30,24,24.1,1.535,30,24,25.2,2.959,30,24,24.6,4.39,30,24,25.7,1.253,51,25,25.2,0.721,51,25,25.4,4.469,30,24,25.5,2.658,51,26,26.1,0.675,51,26,26.2,0.797,51,26,26.1,8.38,51,24,24.3,8.955,51,24,24.1,3.67,51,24,24.3,10.207,30,24,24.3,8.843,51,24,24.2,2.667,30,24,24.1,5.188,30,24,24,5.666,51,24,24.2,3.924,51,24,24.2,3.44,51,24,24.3,3.499,51,24,23.8
1366194000000,2013/04/17,12:20:00,,28.3,0.403,51,24,22.7,4.834,30,24,24.7,0,14,24,22,1.648,51,24,23.5,5.384,51,24,23.4,5.786,30,24,27,5.786,30,24,25.1,5.626,30,24,24.6,2.577,30,24,27.2,8.079,30,24,25.1,7.496,30,24,24.1,3.731,30,24,23.8,4.662,51,24,24,6.578,30,24,24.2,6.277,30,24,24.4,9.495,30,24,25.3,0,14,24,27.5,0.004,30,24,25.4,0,14,24,27.6,3.836,30,24,23.9,1.542,30,24,24.9,3.756,30,24,24.5,0.798,30,24,24.1,1.58,30,24,25.3,3.003,30,24,24.7,4.408,30,24,25.8,1.216,51,25,25.2,0.507,51,25,25.5,4.408,30,24,25.5,2.59,51,26,26,0.682,51,26,26.1,0.788,51,26,26,8.558,51,24,24.2,8.577,51,24,24.2,3.305,51,24,24.2,10.294,30,24,24.4,8.72,51,24,24.1,2.679,30,24,24.1,5.114,30,24,24,5.625,51,24,24.1,4.4,51,24,24.2,3.14,51,24,24.3,3.478,51,24,23.9
1366194600000,2013/04/17,12:30:00,,29.5,0.402,51,24,22.7,4.834,30,24,24.6,0,14,24,22,1.648,51,24,23.5,5.358,51,24,23.4,5.782,30,24,26.7,5.778,30,24,25,5.626,30,24,24.5,2.604,30,24,27.1,8.079,30,24,25.1,7.496,30,24,24.1,3.691,30,24,23.8,4.662,51,24,23.8,6.578,30,24,24.2,6.277,30,24,24.4,9.599,30,24,25.2,0,14,24,27.5,0.004,30,24,25.3,0,14,24,27.4,3.836,30,24,23.5,1.542,30,24,24.8,3.731,30,24,24.5,0.792,30,24,24.1,1.58,30,24,25.5,2.982,30,24,24.8,4.379,30,24,26.1,1.216,51,25,25.2,0.492,51,25,25.5,4.375,30,24,25.5,2.573,51,26,26,0.656,51,26,26.1,0.784,51,26,26,8.558,51,24,24.2,8.577,51,24,24.1,3.274,51,24,24.1,10.615,30,24,24.4,8.72,51,24,24,2.679,30,24,24.1,5.114,30,24,24,5.625,51,24,24,4.796,51,24,24.2,3.14,51,24,24.2,3.478,51,24,23.8
1366195200000,2013/04/17,12:40:00,,29.2,0.249,51,24,22.6,4.308,30,24,24.5,0,14,24,22,1.556,51,24,23.4,5.243,51,24,23.3,5.658,30,24,26.5,5.658,30,24,24.9,5.425,30,24,24.5,2.548,30,24,26.6,7.932,30,24,24.8,7.038,30,24,24,3.565,30,24,23.8,3.808,51,24,23.7,6.413,30,24,24.1,6.029,30,24,24.3,9.2,30,24,25.1,0,14,24,27.3,0.004,30,24,25.2,0,14,24,27.2,3.137,51,24,23.4,1.536,30,24,24.6,3.381,30,24,24.6,0.782,30,24,24.1,1.493,30,24,25.7,2.971,30,24,24.7,4.048,30,24,26.1,1.218,51,25,25.1,0.542,30,25,25.4,4.048,30,24,25.4,2.418,51,26,25.9,0.626,51,26,25.9,0.773,51,26,25.9,8.222,51,24,24.1,7.898,51,24,24.1,3.177,51,24,24,10.134,30,24,24.3,7.689,51,24,23.9,2.621,30,24,24.1,4.808,30,24,24,5.409,51,24,23.9,4.825,51,24,24.1,2.661,51,24,24.2,3.186,51,24,23.8
1366195800000,2013/04/17,12:50:00,,29.2,0.256,51,24,22.5,4.335,30,24,24.3,0,14,24,22,1.667,51,24,23.4,5.694,51,24,23.3,6.153,30,24,26.2,6.153,30,24,24.8,5.853,30,24,24.4,2.77,30,24,26.2,8.585,30,24,24.6,7.594,30,24,23.9,3.798,30,24,23.7,4.591,51,24,24,7.033,30,24,24.2,6.569,30,24,24.2,10.223,30,24,24.9,0,14,24,27.2,0.005,30,24,25.2,0,14,24,27,3.434,51,24,23.3,1.657,30,24,24.5,3.689,30,24,24.7,0.877,30,24,24.2,1.648,30,24,25.9,3.29,30,24,24.8,4.446,30,24,26.2,1.384,51,25,25.1,0.65,30,25,25.3,4.446,30,24,25.4,2.662,51,26,26,0.667,51,26,26,0.833,51,26,26.1,8.865,51,24,24.1,8.479,51,24,24.1,3.511,51,24,24.1,11.114,30,24,24.3,8.105,51,24,23.9,2.765,30,24,24,5.132,30,24,24,5.805,51,24,24,5.503,51,24,24.1,2.796,51,24,24.2,3.593,51,24,23.8
1366196400000,2013/04/17,13:00:00,,29.2,0.259,51,24,22.5,3.895,30,24,24,0,14,24,22,1.645,51,24,23.4,5.739,51,24,23.2,6.227,30,24,25.9,6.227,30,24,24.7,5.875,30,24,24.4,2.804,30,24,25.8,8.489,30,24,24.5,7.346,30,24,23.9,3.691,30,24,23.7,4.721,51,24,23.9,6.894,30,24,24.1,6.459,30,24,24.2,10.166,30,24,24.8,0,14,24,27.1,0.005,30,24,25.1,0,14,24,26.8,3.394,51,24,23.4,1.551,30,24,24.5,3.582,30,24,24.8,0.749,30,24,24.3,1.614,30,24,26.2,3.284,30,24,24.8,4.3,30,24,26.3,1.388,51,25,25.1,0.751,30,25,25.2,4.3,30,24,25.4,2.561,51,26,26,0.645,51,26,26,0.806,51,26,26.1,8.619,51,24,24.1,8.132,51,24,24.2,3.788,51,24,24.1,11.032,30,24,24.4,7.725,51,24,23.9,2.677,30,24,24,4.946,30,24,24,5.929,51,24,24.1,5.845,51,24,24.2,2.519,51,24,24.3,4.175,51,24,23.8
1366197000000,2013/04/17,13:10:00,,29.2,0.267,51,24,22.4,3.483,30,24,23.8,0,14,24,22,1.655,51,24,23.3,5.917,51,24,23.2,6.49,30,24,25.6,6.49,30,24,24.5,6.084,30,24,24.3,2.813,30,24,25.7,8.267,30,24,24.2,7.294,30,24,23.8,3.702,30,24,23.7,5.466,51,24,24,6.963,30,24,24.1,6.53,30,24,24.1,10.176,30,24,24.6,0,14,24,27,0.005,30,24,25.1,0,14,24,26.6,3.52,51,24,23.6,1.658,30,24,24.6,3.509,30,24,24.9,0.678,30,24,24.3,1.605,30,24,26.4,3.288,30,24,24.8,4.196,30,24,26.3,1.462,51,25,25.1,0.966,30,25,25.3,4.196,30,24,25.4,2.427,51,26,26.1,0.649,51,26,26,0.772,51,26,26.1,8.797,51,24,24.1,8.086,51,24,24.2,4.267,51,24,24.1,11.454,30,24,24.3,7.623,51,24,23.9,2.741,30,24,24.1,4.999,30,24,24,5.208,51,24,24.2,6.36,51,24,24.2,2.323,51,24,24.3,4.701,51,24,23.8
